,Date,Open,High,Low,Close,Adj Close,Volume,shortAvg,longAvg,Signal,Position
0,2020-09-21,180.0,180.600006,175.050003,175.75,167.035294,23891325.0,,,0,
1,2020-09-22,175.75,176.75,173.75,174.199997,165.562149,18529108.0,,,0,0.0
2,2020-09-23,174.949997,177.550003,171.699997,172.5,163.946457,61785000.0,,,0,0.0
3,2020-09-24,171.699997,171.75,166.149994,166.550003,158.291489,31486355.0,,,0,0.0
4,2020-09-25,168.899994,171.199997,167.0,170.75,162.283218,26625318.0,,,0,0.0
5,2020-09-28,171.0,174.800003,170.5,173.300003,164.706787,23194638.0,,,0,0.0
6,2020-09-29,174.75,174.75,169.0,169.399994,161.000168,25615786.0,171.778571,,0,0.0
7,2020-09-30,170.0,172.100006,168.699997,171.699997,163.186111,18481590.0,171.19999914285714,,0,0.0
8,2020-10-01,174.5,174.600006,170.100006,170.850006,162.378265,19756417.0,170.721429,,0,0.0
9,2020-10-05,171.100006,172.800003,168.75,169.25,160.85759,24298942.0,170.2571432857143,,0,0.0
10,2020-10-06,169.5,171.600006,168.100006,169.899994,161.475357,21885190.0,170.73571342857142,,0,0.0
11,2020-10-07,170.0,170.899994,169.0,169.5,161.0952,16286540.0,170.55714199999997,,0,0.0
12,2020-10-08,170.100006,170.399994,166.899994,167.149994,158.861725,25502126.0,169.67856928571427,,0,0.0
13,2020-10-09,167.5,168.899994,166.350006,167.850006,159.527039,22373277.0,169.45714242857144,170.6178567142857,0,0.0
14,2020-10-12,170.5,175.199997,170.0,172.199997,163.661316,66250422.0,169.528571,170.36428507142858,0,0.0
15,2020-10-13,172.850006,174.850006,169.5,170.149994,161.712967,35684395.0,169.42856928571427,170.07499914285714,0,0.0
16,2020-10-14,170.550003,171.0,167.050003,167.800003,159.479507,38216229.0,169.22142685714286,169.73928507142858,0,0.0
17,2020-10-15,167.699997,167.800003,164.550003,165.050003,156.86586,27116799.0,168.528571,169.63214221428572,0,0.0
18,2020-10-16,165.5,166.800003,163.800003,165.699997,157.483627,20227056.0,167.98571342857142,169.2714277142857,0,0.0
19,2020-10-19,166.800003,168.899994,166.149994,168.25,159.907196,19016521.0,168.14285714285714,168.91071321428575,0,0.0
20,2020-10-20,168.0,168.300003,166.699997,167.449997,159.146851,16148741.0,168.085713,168.7714277142857,0,0.0
21,2020-10-21,168.149994,168.899994,166.600006,167.649994,159.336929,16478833.0,167.43571257142858,168.48214178571428,0,0.0
22,2020-10-22,167.550003,169.100006,167.0,168.550003,160.192307,22044107.0,167.20714242857142,168.31785585714286,0,0.0
23,2020-10-23,168.949997,171.0,167.75,170.75,162.283218,20145584.0,167.62857057142855,168.42499871428572,0,0.0
24,2020-10-26,171.5,171.600006,168.25,168.550003,160.192307,16080575.0,168.12857057142855,168.32857078571428,0,0.0
