,date,price,buysell,balance
0,2014-11-20,52.70000076293945,buy,0.0
1,2014-11-25,49.150001525878906,sell,-3.549999237060547
2,2014-12-02,54.75,buy,-3.549999237060547
3,2014-12-08,51.349998474121094,sell,-6.950000762939453
4,2014-12-30,51.45000076293945,buy,-6.950000762939453
5,2015-01-05,57.79999923706055,sell,-0.6000022888183594
6,2015-02-18,69.19999694824219,buy,-0.6000022888183594
7,2015-02-26,64.9000015258789,sell,-4.899997711181641
8,2015-04-06,73.75,buy,-4.899997711181641
9,2015-04-24,67.44999694824219,sell,-11.200000762939453
10,2015-04-28,68.44999694824219,buy,-11.200000762939453
11,2015-05-11,74.30000305175781,sell,-5.349994659423828
12,2015-05-21,70.19999694824219,buy,-5.349994659423828
13,2015-06-08,66.5,sell,-9.049991607666016
14,2015-06-22,70.3499984741211,buy,-9.049991607666016
15,2015-07-01,74.0999984741211,sell,-5.299991607666016
16,2015-09-18,87.94999694824219,buy,-5.299991607666016
17,2015-10-01,94.25,sell,1.0000114440917969
18,2015-11-20,93.6500015258789,buy,1.0000114440917969
19,2015-12-09,86.55000305175781,sell,-6.099987030029297
20,2015-12-29,89.75,buy,-6.099987030029297
21,2016-01-15,85.0999984741211,sell,-10.749988555908203
22,2016-02-01,91.5,buy,-10.749988555908203
23,2016-02-03,86.8499984741211,sell,-15.39999008178711
24,2016-02-11,80.9000015258789,buy,-15.39999008178711
25,2016-02-15,89.6500015258789,sell,-6.649990081787109
26,2016-02-19,91.19999694824219,buy,-6.649990081787109
27,2016-02-25,85.94999694824219,sell,-11.89999008178711
28,2016-05-20,99.44999694824219,buy,-11.89999008178711
29,2016-05-27,106.80000305175781,sell,-4.549983978271484
30,2016-05-30,106.05000305175781,buy,-4.549983978271484
31,2016-06-16,99.4000015258789,sell,-11.19998550415039
32,2016-07-08,93.80000305175781,buy,-11.19998550415039
33,2016-08-02,88.1500015258789,sell,-16.849987030029297
34,2016-08-29,87.9000015258789,buy,-16.849987030029297
35,2016-09-02,83.0,sell,-21.749988555908203
36,2016-10-18,83.8499984741211,buy,-21.749988555908203
37,2016-10-24,88.05000305175781,sell,-17.549983978271484
38,2016-12-07,76.69999694824219,buy,-17.549983978271484
39,2017-01-02,81.0,sell,-13.249980926513672
40,2017-03-16,91.9000015258789,buy,-13.249980926513672
41,2017-03-22,87.1500015258789,sell,-17.999980926513672
42,2017-03-23,87.05000305175781,buy,-17.999980926513672
43,2017-04-10,82.4000015258789,sell,-22.649982452392578
44,2017-04-24,87.25,buy,-22.649982452392578
45,2017-05-03,82.80000305175781,sell,-27.099979400634766
46,2017-05-15,86.19999694824219,buy,-27.099979400634766
47,2017-05-24,82.3499984741211,sell,-30.94997787475586
48,2017-07-03,100.30000305175781,buy,-30.94997787475586
49,2017-07-12,106.4000015258789,sell,-24.849979400634766
50,2017-09-01,112.8499984741211,buy,-24.849979400634766
51,2017-09-18,118.55000305175781,sell,-19.149974822998047
52,2017-09-29,123.0999984741211,buy,-19.149974822998047
53,2017-10-18,130.60000610351562,sell,-11.649967193603516
54,2017-11-24,118.44999694824219,buy,-11.649967193603516
55,2017-12-14,112.05000305175781,sell,-18.04996109008789
56,2017-12-26,119.1500015258789,buy,-18.04996109008789
57,2018-01-01,118.6500015258789,sell,-18.54996109008789
58,2018-02-05,129.35000610351562,buy,-18.54996109008789
59,2018-02-14,137.39999389648438,sell,-10.49997329711914
60,2018-04-06,146.4499969482422,buy,-10.49997329711914
61,2018-04-20,155.5500030517578,sell,-1.3999671936035156
62,2018-06-05,146.1999969482422,buy,-1.3999671936035156
63,2018-06-19,136.5,sell,-11.099964141845703
64,2018-07-12,133.9499969482422,buy,-11.099964141845703
65,2018-07-16,125.69999694824219,sell,-19.349964141845703
66,2018-08-06,118.25,buy,-19.349964141845703
67,2018-08-08,125.69999694824219,sell,-11.899967193603516
68,2018-10-08,109.1500015258789,buy,-11.899967193603516
69,2018-10-12,115.80000305175781,sell,-5.249965667724609
70,2018-11-02,117.69999694824219,buy,-5.249965667724609
71,2018-11-14,106.5,sell,-16.449962615966797
72,2018-12-21,105.3499984741211,buy,-16.449962615966797
73,2019-01-02,99.94999694824219,sell,-21.849964141845703
74,2019-02-28,86.5,buy,-21.849964141845703
75,2019-03-07,90.9000015258789,sell,-17.449962615966797
76,2019-04-10,91.55000305175781,buy,-17.449962615966797
77,2019-04-16,96.3499984741211,sell,-12.649967193603516
78,2019-05-03,89.5999984741211,buy,-12.649967193603516
79,2019-05-09,84.8499984741211,sell,-17.399967193603516
80,2019-05-23,88.8499984741211,buy,-17.399967193603516
81,2019-05-24,93.80000305175781,sell,-12.449962615966797
82,2019-05-29,89.69999694824219,buy,-12.449962615966797
83,2019-06-17,83.6500015258789,sell,-18.499958038330078
84,2019-07-02,87.8499984741211,buy,-18.499958038330078
85,2019-07-18,81.44999694824219,sell,-24.899959564208984
86,2019-08-28,66.75,buy,-24.899959564208984
87,2019-09-04,62.599998474121094,sell,-29.04996109008789
88,2019-09-23,74.6500015258789,buy,-29.04996109008789
89,2019-09-25,70.75,sell,-32.9499626159668
90,2019-10-17,73.5,buy,-32.9499626159668
91,2019-10-18,77.5,sell,-28.949962615966797
92,2019-12-18,79.9000015258789,buy,-28.949962615966797
93,2020-01-02,84.0,sell,-24.849964141845703
94,2020-01-03,83.69999694824219,buy,-24.849964141845703
95,2020-01-17,84.0,sell,-24.54996109008789
96,2020-02-20,84.30000305175781,buy,-24.54996109008789
97,2020-02-26,77.94999694824219,sell,-30.899967193603516
98,2020-03-02,73.9000015258789,buy,-30.899967193603516
99,2020-03-09,68.8499984741211,sell,-35.94997024536133
100,2020-04-15,46.70000076293945,buy,-35.94997024536133
101,2020-04-21,44.099998474121094,sell,-38.54997253417969
102,2020-06-04,45.75,buy,-38.54997253417969
103,2020-06-05,48.349998474121094,sell,-35.949974060058594
104,2020-07-14,50.400001525878906,buy,-35.949974060058594
105,2020-08-12,53.95000076293945,sell,-32.39997482299805
106,2020-09-15,77.8499984741211,buy,-32.39997482299805
107,2020-09-23,73.5999984741211,sell,-36.64997482299805
108,2020-10-22,79.25,buy,-36.64997482299805
109,2020-11-03,83.9000015258789,sell,-31.99997329711914
110,2021-01-04,104.05000305175781,buy,-31.99997329711914
111,2021-01-07,111.05000305175781,sell,-24.99997329711914
112,2021-02-02,132.3000030517578,buy,-24.99997329711914
113,2021-02-19,123.4000015258789,sell,-33.89997482299805
114,2021-03-04,130.9499969482422,buy,-33.89997482299805
115,2021-03-09,123.4000015258789,sell,-41.44997024536133
116,2021-03-24,112.1500015258789,buy,-41.44997024536133
117,2021-04-01,118.1500015258789,sell,-35.44997024536133
118,2021-04-08,122.75,buy,-35.44997024536133
119,2021-04-12,112.1500015258789,sell,-46.04996871948242
120,2021-05-10,116.0,buy,-46.04996871948242
121,2021-05-18,122.94999694824219,sell,-39.099971771240234
122,2021-07-05,124.9000015258789,buy,-39.099971771240234
123,2021-07-30,132.8000030517578,sell,-31.199970245361328
124,2021-08-02,134.8000030517578,buy,-31.199970245361328
125,2021-08-04,135.1999969482422,sell,-30.799976348876953
126,2021-09-09,125.30000305175781,buy,-30.799976348876953
127,2021-09-30,133.8000030517578,sell,-22.299976348876953
128,2021-12-03,120.6500015258789,buy,-22.299976348876953
129,2021-12-09,127.44999694824219,sell,-15.499980926513672
130,2021-12-15,126.25,buy,-15.499980926513672
131,2021-12-20,119.80000305175781,sell,-21.94997787475586
132,2022-01-04,127.4000015258789,buy,-21.94997787475586
133,2022-01-10,134.25,sell,-15.099979400634766
134,2022-02-09,137.8000030517578,buy,-15.099979400634766
135,2022-02-14,123.94999694824219,sell,-28.94998550415039
