,date,price,buysell,balance
0,2017-04-24,286.04998779296875,buy,0.0
1,2017-05-15,301.3999938964844,sell,15.350006103515625
2,2017-05-29,284.0,buy,15.350006103515625
3,2017-07-27,298.3500061035156,sell,29.70001220703125
4,2017-08-16,283.1000061035156,buy,29.70001220703125
5,2017-09-19,267.79998779296875,sell,14.399993896484375
6,2017-12-05,319.1000061035156,buy,14.399993896484375
7,2018-01-03,302.8500061035156,sell,-1.850006103515625
8,2018-02-08,301.3999938964844,buy,-1.850006103515625
9,2018-02-14,276.20001220703125,sell,-27.04998779296875
10,2018-04-23,242.4499969482422,buy,-27.04998779296875
11,2018-05-23,263.20001220703125,sell,-6.2999725341796875
12,2018-06-28,257.0,buy,-6.2999725341796875
13,2018-07-25,271.8500061035156,sell,8.550033569335938
14,2018-08-28,305.3500061035156,buy,8.550033569335938
15,2018-09-10,284.8500061035156,sell,-11.949966430664062
16,2018-12-04,282.54998779296875,buy,-11.949966430664062
17,2018-12-19,300.70001220703125,sell,6.2000579833984375
18,2019-01-24,288.04998779296875,buy,6.2000579833984375
19,2019-02-14,267.1000061035156,sell,-14.749923706054688
20,2019-04-23,305.25,buy,-14.749923706054688
21,2019-05-20,344.70001220703125,sell,24.700088500976562
22,2019-06-17,337.8500061035156,buy,24.700088500976562
23,2019-06-25,356.54998779296875,sell,43.40007019042969
24,2019-07-19,356.0,buy,43.40007019042969
25,2019-07-30,327.54998779296875,sell,14.950057983398438
26,2019-10-04,249.9499969482422,buy,14.950057983398438
27,2019-10-17,265.45001220703125,sell,30.4500732421875
28,2019-12-12,321.8500061035156,buy,30.4500732421875
29,2020-01-02,339.29998779296875,sell,47.900054931640625
30,2020-01-09,330.20001220703125,buy,47.900054931640625
31,2020-01-30,310.70001220703125,sell,28.400054931640625
32,2020-03-03,289.8500061035156,buy,28.400054931640625
33,2020-03-06,270.5,sell,9.050048828125
34,2020-05-04,178.85000610351562,buy,9.050048828125
35,2020-05-08,166.64999389648438,sell,-3.14996337890625
36,2020-08-06,190.9499969482422,buy,-3.14996337890625
37,2020-08-12,203.3000030517578,sell,9.200042724609375
38,2020-09-15,200.14999389648438,buy,9.200042724609375
39,2020-09-21,185.8000030517578,sell,-5.1499481201171875
40,2020-11-03,204.75,buy,-5.1499481201171875
41,2020-11-05,218.64999389648438,sell,8.750045776367188
42,2020-12-31,274.95001220703125,buy,8.750045776367188
43,2021-01-12,292.5,sell,26.300033569335938
44,2021-02-01,310.70001220703125,buy,26.300033569335938
45,2021-02-02,333.1000061035156,sell,48.70002746582031
46,2021-03-04,395.6499938964844,buy,48.70002746582031
47,2021-03-17,368.1499938964844,sell,21.200027465820312
48,2021-06-21,419.75,buy,21.200027465820312
49,2021-07-29,441.54998779296875,sell,43.00001525878906
50,2021-07-30,431.79998779296875,buy,43.00001525878906
51,2021-08-04,456.95001220703125,sell,68.15003967285156
52,2021-08-18,419.70001220703125,buy,68.15003967285156
53,2021-09-15,443.8500061035156,sell,92.30003356933594
54,2021-11-22,486.3999938964844,buy,92.30003356933594
55,2021-11-30,460.54998779296875,sell,66.45002746582031
56,2021-12-22,455.8500061035156,buy,66.45002746582031
57,2022-01-04,483.5,sell,94.10002136230469
58,2022-02-18,515.2999877929688,buy,94.10002136230469
59,2022-02-24,472.6499938964844,sell,51.45002746582031
